artist_id,artist_name,gender,type
3TVXtAsR1Inumwj472S9r4,Drake,NF,solo
4q3ewBCX7sLwd24euuV69X,Bad Bunny,NF,solo
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,F,solo
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,F,solo
3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,NF,solo
06HL4z0CvFAxyc27GXpf02,Taylor Swift,F,solo
3Nrfpe0tUJi4K4DXYWgMUX,BTS,NF,GROUP
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,NF,solo
1RyvyyTE3xzB2ZywiAwp0i,Future,NF,solo
1uNFoZAHBGtllmzznpCI3s,Justin Bieber,NF,solo
790FomKkXshlbRYZFtlgla,KAROL G,F,solo
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,NF,solo
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,NF,GROUP
4YRxDV8wJFPHPTeXepOstw,Arijit Singh,NF,solo
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,F,solo
0EmeFodog0BfCgMzAIvKQp,Shakira,F,solo
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,NF,solo
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,NF,solo
5eumcnUkdmGvkvcsx1WFNG,Tito Double P,NF,solo
1wRPtKGflJrBx9BmLsSwlU,Pritam,NF,solo
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,F,solo
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,NF,solo
6TLwD7HPWuiOzvXEa3oCNe,Oliver Tree,NF,solo
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,NF,GROUP
7Gi6gjaWy3DxyilpF1a8Is,Junior H,NF,solo
7eKkW1zo5uzW8kUntiiBvz,Malcolm Todd,NF,solo
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,F,solo
2dIgFjalVxs4ThymZ67YCE,Stray Kids,NF,GROUP
6tbjWDEIzxoDsBA1FuhfPW,Madonna,F,solo
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,F,solo
3c0gDdb9lhnHGFtP4prQpn,KATSEYE,NF,GROUP
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,NF,GROUP
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,NF,solo
6jJ0s89eD6GaHleKKya26X,Katy Perry,F,solo
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,F,solo
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,NF,solo
2R21vXR83lH98kGeO99Y66,Anuel AA,NF,solo
3gBZUcNeVumkeeJ19CY2sX,Ken Carson,NF,solo
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,NF,solo
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,NF,solo
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,F,solo
00x1fYSGhdqScXBRpSj3DW,Olivia Dean,F,solo
1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,NF,solo
0TnOYISbd1XYRBk9myaseg,Pitbull,NF,solo
0oOet2f43PA68X5RxKobEy,Shreya Ghoshal,F,solo
7dGJo4pcD2V6oG8kP0tJRR,Eminem,NF,solo
