rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days
39,Anti-Hero,Taylor Swift,110727,38,23,4
81,Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",78756,77,42,4
96,Lavender Haze,Taylor Swift,69090,88,40,4
112,Midnight Rain,Taylor Swift,63283,114,70,4
113,"You're On Your Own, Kid",Taylor Swift,63043,113,63,4
120,Maroon,Taylor Swift,62279,112,56,4
135,Karma,Taylor Swift,57806,133,93,4
145,Vigilante Shit,Taylor Swift,55028,145,78,4
151,Question...?,Taylor Swift,53179,153,85,4
172,Bejeweled,Taylor Swift,49979,170,103,4
