rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,image_url,lastfm_tags,album,release_date,days_since_release,streak
2,The Fate of Ophelia,Taylor Swift,476365,,2,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; best of 2025; baroque pop; synthpop; love at first listen,The Life of a Showgirl,,,1
5,Elizabeth Taylor,Taylor Swift,323455,,5,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,who put katy perry?; pop; soty; baroque pop; halsey,The Life of a Showgirl,2025-10-03,0,1
8,Opalite,Taylor Swift,310631,,8,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; synthpop; soft rock; rnb; christmas,The Life of a Showgirl,,,1
14,Father Figure,Taylor Swift,273554,,14,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,soty; best of 2025; pop; synthpop; gaypop,The Life of a Showgirl,,,1
18,Eldest Daughter,Taylor Swift,253378,,18,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; 2020s; sad; experimental; show tunes,The Life of a Showgirl,,,1
20,CANCELLED!,Taylor Swift,249570,,20,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; soty; rock; female vocalist; singer-songwriter,The Life of a Showgirl,,,1
21,Actually Romantic,Taylor Swift,243248,,21,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop rock; power pop; ended flopli xcx; best of 2025; rnb,The Life of a Showgirl,,,1
22,The Life of a Showgirl (feat. Sabrina Carpenter),"Taylor Swift, Sabrina Carpenter",241988,,22,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; power pop; rnb; disco; gaypop,,,,1
23,Ruin The Friendship,Taylor Swift,237680,,23,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; country pop; peter; soft rock; folk,The Life of a Showgirl,,,1
27,Wi$h Li$t,Taylor Swift,230260,,27,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; synthpop; fav; synth pop; racist,The Life of a Showgirl,,,1
28,Wood,Taylor Swift,226036,,28,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; funk; disco; sexy; soul,The Life of a Showgirl,,,1
36,Honey,Taylor Swift,198422,,36,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,rnb; pop; soft rock; metal; female vocalist,The Life of a Showgirl,,,1
