rank,track_name,artist_names,streams,previous_rank,peak_rank,streak,image_url,total_days
3,Lover,Taylor Swift,4380838,2,2,9,https://i.scdn.co/image/ab67616d0000b273008b06ec71019afd70153889,
8,The Man,Taylor Swift,3261386,4,4,2,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,
14,Cruel Summer,Taylor Swift,2753519,5,5,2,https://i.scdn.co/image/ab67616d0000b273bd69bbde4aeee723d6d08058,
15,You Need To Calm Down,Taylor Swift,2707607,12,3,72,https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02,
19,I Forgot That You Existed,Taylor Swift,2647546,6,6,2,https://i.scdn.co/image/ab67616d0000b273f528fc2d5d8b26e4e3413715,
23,Paper Rings,Taylor Swift,2218148,16,16,2,https://i.scdn.co/image/ab67616d0000b2734aef420e62863ebf622c27f5,
26,Miss Americana & The Heartbreak Prince,Taylor Swift,2118576,15,15,2,https://i.scdn.co/image/ab67616d0000b273931a1c33d7850f20ee23a5e1,
28,I Think He Knows,Taylor Swift,2074100,13,13,2,https://i.scdn.co/image/ab67616d0000b2732ca010dcf3863a07611d8b4f,
32,The Archer,Taylor Swift,1975634,24,9,2,https://i.scdn.co/image/ab67616d0000b273b195123bcd742d6019ac9dc8,
34,Cornelia Street,Taylor Swift,1963428,23,23,2,https://i.scdn.co/image/ab67616d0000b273614b5974ec6e23185462700b,
35,London Boy,Taylor Swift,1928128,25,25,2,https://i.scdn.co/image/ab67616d0000b2739d3bea085d49f5c2468a076f,
36,ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie, Panic! At The Disco",1925773,29,1,121,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,
38,Death By A Thousand Cuts,Taylor Swift,1730244,26,26,2,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,
47,Afterglow,Taylor Swift,1547626,38,38,2,https://i.scdn.co/image/ab67616d0000b273694844fd046ab81e5dc9a4cf,
49,Soon You’ll Get Better (feat. The Chicks),"Taylor Swift, The Chicks",1520381,31,31,2,https://i.scdn.co/image/ab67616d0000b2737c8977a0ad3a3a0627be9ed7,
50,False God,Taylor Swift,1520005,34,34,2,https://i.scdn.co/image/ab67616d0000b2736239187793c9e492e687db01,
56,Daylight,Taylor Swift,1319146,42,42,2,https://i.scdn.co/image/ab67616d0000b273a5481b23c227d3e8a91ec6f5,
63,It’s Nice To Have A Friend,Taylor Swift,1234566,44,44,2,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8,
