rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,streak,image_url
1,The Fate of Ophelia,Taylor Swift,30987370,,1,1,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
2,Elizabeth Taylor,Taylor Swift,23974787,,2,1,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
3,Opalite,Taylor Swift,23716087,,3,1,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
4,Father Figure,Taylor Swift,21802376,,4,1,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
5,Eldest Daughter,Taylor Swift,19963843,,5,1,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
6,Actually Romantic,Taylor Swift,19391100,,6,1,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
7,Wood,Taylor Swift,19016766,,7,1,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
8,CANCELLED!,Taylor Swift,18835270,,8,1,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
9,Wi$h Li$t,Taylor Swift,18804814,,9,1,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
10,Ruin The Friendship,Taylor Swift,18756365,,10,1,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
11,The Life of a Showgirl (feat. Sabrina Carpenter),"Taylor Swift, Sabrina Carpenter",18734428,,11,1,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
12,Honey,Taylor Swift,15995465,,12,1,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902
31,august,Taylor Swift,2615761,184.0,4,545,2,https://i.scdn.co/image/ab67616d00001e0295f754318336a07e85ec59bc
69,cardigan,Taylor Swift,1989903,156.0,1,538,39,https://i.scdn.co/image/ab67616d00001e0295f754318336a07e85ec59bc
119,Cruel Summer,Taylor Swift,1503912,142.0,2,963,282,https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647
195,Lover,Taylor Swift,1254940,,2,498,1,https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647
