rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days
11,Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",257361,-1,11,1
28,The Tortured Poets Department,Taylor Swift,187526,-1,28,1
33,My Boy Only Breaks His Favorite Toys,Taylor Swift,179294,-1,33,1
35,"So Long, London",Taylor Swift,172851,-1,35,1
38,Down Bad,Taylor Swift,168470,-1,38,1
49,But Daddy I Love Him,Taylor Swift,150377,-1,49,1
52,Florida!!! (feat. Florence + The Machine),"Taylor Swift, Florence + The Machine",143830,-1,52,1
56,I Can Do It With a Broken Heart,Taylor Swift,131611,-1,56,1
57,Who’s Afraid of Little Old Me?,Taylor Swift,129800,-1,57,1
60,Fresh Out The Slammer,Taylor Swift,126413,-1,60,1
62,Guilty as Sin?,Taylor Swift,124466,-1,62,1
71,Cruel Summer,Taylor Swift,115176,60,36,116
74,loml,Taylor Swift,114526,-1,74,1
80,I Can Fix Him (No Really I Can),Taylor Swift,107997,-1,80,1
92,The Smallest Man Who Ever Lived,Taylor Swift,102621,-1,92,1
101,The Alchemy,Taylor Swift,97480,-1,101,1
115,Clara Bow,Taylor Swift,90733,-1,115,1
