pop_rank,rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,image_url,lastfm_tags,pop_flag,album,release_date,days_since_release,previous_pop_rank,pop_total_days
1,1,The Fate of Ophelia,Taylor Swift,2267587,,1,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; best of 2025; synthpop; baroque pop; soty,True,The Life of a Showgirl,2025-10-03,0,,0
2,2,Elizabeth Taylor,Taylor Swift,1820645,,2,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,who put katy perry?; pop; soty; baroque pop; halsey,True,The Life of a Showgirl,,,,0
3,3,Opalite,Taylor Swift,1757421,,3,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,synthpop; pop; soft rock; rnb; soty,True,The Life of a Showgirl,,,,0
4,4,Father Figure,Taylor Swift,1662781,,4,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,soty; best of 2025; pop; synthpop; gaypop,True,The Life of a Showgirl,,,,0
5,5,Eldest Daughter,Taylor Swift,1497496,,5,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; 2020s; sad; experimental; show tunes,True,The Life of a Showgirl,,,,0
6,6,Actually Romantic,Taylor Swift,1497235,,6,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop rock; power pop; ended flopli xcx; best of 2025; rnb,True,The Life of a Showgirl,,,,0
7,7,The Life of a Showgirl (feat. Sabrina Carpenter),"Taylor Swift, Sabrina Carpenter",1429676,,7,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; power pop; rnb; disco; gaypop,True,,,,,0
8,8,CANCELLED!,Taylor Swift,1420263,,8,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; soty; rock; female vocalist; singer-songwriter,True,The Life of a Showgirl,,,,0
9,9,Wood,Taylor Swift,1419434,,9,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; funk; disco; sexy; soul,True,The Life of a Showgirl,,,,0
10,10,Ruin The Friendship,Taylor Swift,1415617,,10,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; country pop; peter; soft rock; folk,True,The Life of a Showgirl,,,,0
11,11,Wi$h Li$t,Taylor Swift,1390457,,11,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,pop; synthpop; fav; synth pop; racist,True,The Life of a Showgirl,,,,0
12,12,Honey,Taylor Swift,1180457,,12,1,https://i.scdn.co/image/ab67616d00001e02d7812467811a7da6e6a44902,rnb; pop; soft rock; metal; female vocalist,True,The Life of a Showgirl,,,,0
28,49,august,Taylor Swift,160131,,12,1,https://i.scdn.co/image/ab67616d00001e0295f754318336a07e85ec59bc,dream pop; folk; folk pop; indie pop; indie folk,True,folklore: the long pond studio sessions (from the Disney+ special),,,,1
40,89,cardigan,Taylor Swift,117647,,2,1,https://i.scdn.co/image/ab67616d00001e0295f754318336a07e85ec59bc,folk pop; folk; chamber pop; singer-songwriter; indie,True,Now That's What I Call Music! Vol. 76,,,,0
