date,token,saved_at
2017-02-12,rate_limit,429,deferred; slept 15.0s,1775519935
2017-02-13,rate_limit,429,deferred; slept 15.0s,1775519950
2017-02-14,rate_limit,429,deferred; slept 15.0s,1775519965
2017-02-15,rate_limit,429,deferred; slept 15.0s,1775519980
2017-02-16,rate_limit,429,deferred; slept 15.0s,1775519996
2017-02-17,rate_limit,429,deferred; slept 15.0s,1775520011
2017-02-18,rate_limit,429,deferred; slept 15.0s,1775520026
2017-03-29,rate_limit,429,deferred; slept 15.0s,1775520056
2017-03-30,rate_limit,429,deferred; slept 15.0s,1775520071
2017-03-31,rate_limit,429,deferred; slept 15.0s,1775520086
2017-04-01,rate_limit,429,deferred; slept 15.0s,1775520102
2017-04-02,rate_limit,429,deferred; slept 15.0s,1775520117
2017-04-03,rate_limit,429,deferred; slept 15.0s,1775520132
2017-04-04,rate_limit,429,deferred; slept 15.0s,1775520147
2017-04-06,rate_limit,429,deferred; slept 15.0s,1775520163
2017-04-07,rate_limit,429,deferred; slept 15.0s,1775520178
2017-04-08,rate_limit,429,deferred; slept 15.0s,1775520193
2017-04-09,rate_limit,429,deferred; slept 15.0s,1775520209
2017-04-10,rate_limit,429,deferred; slept 15.0s,1775520224
2017-04-11,rate_limit,429,deferred; slept 15.0s,1775520239
2017-04-12,rate_limit,429,deferred; slept 15.0s,1775520254
2017-05-16,rate_limit,429,deferred; slept 15.0s,1775520283
2017-05-17,rate_limit,429,deferred; slept 15.0s,1775520298
2017-05-18,rate_limit,429,deferred; slept 15.0s,1775520313
2017-05-19,rate_limit,429,deferred; slept 15.0s,1775520328
2017-05-20,rate_limit,429,deferred; slept 15.0s,1775520344
2017-05-21,rate_limit,429,deferred; slept 15.0s,1775520359
2017-05-22,rate_limit,429,deferred; slept 15.0s,1775520374
2017-07-01,rate_limit,429,deferred; slept 15.0s,1775520405
2017-07-02,rate_limit,429,deferred; slept 15.0s,1775520420
2017-07-03,rate_limit,429,deferred; slept 15.0s,1775520435
2017-07-04,rate_limit,429,deferred; slept 15.0s,1775520450
2017-07-05,rate_limit,429,deferred; slept 15.0s,1775520465
2017-07-06,rate_limit,429,deferred; slept 15.0s,1775520481
2017-07-07,rate_limit,429,deferred; slept 15.0s,1775520496
2017-08-15,rate_limit,429,deferred; slept 15.0s,1775520528
2017-08-16,rate_limit,429,deferred; slept 15.0s,1775520543
2017-08-17,rate_limit,429,deferred; slept 15.0s,1775520559
2017-08-18,rate_limit,429,deferred; slept 15.0s,1775520574
2017-08-19,rate_limit,429,deferred; slept 15.0s,1775520589
2017-08-20,rate_limit,429,deferred; slept 15.0s,1775520604
2017-08-21,rate_limit,429,deferred; slept 15.0s,1775520619
2017-09-29,rate_limit,429,deferred; slept 15.0s,1775520650
2017-09-30,rate_limit,429,deferred; slept 15.0s,1775520665
2017-10-01,rate_limit,429,deferred; slept 15.0s,1775520680
2017-10-02,rate_limit,429,deferred; slept 15.0s,1775520695
2017-10-03,rate_limit,429,deferred; slept 15.0s,1775520710
2017-10-04,rate_limit,429,deferred; slept 15.0s,1775520726
2017-10-05,rate_limit,429,deferred; slept 15.0s,1775520741
2017-10-08,rate_limit,429,deferred; slept 15.0s,1775520757
2017-10-09,rate_limit,429,deferred; slept 15.0s,1775520772
2017-10-10,rate_limit,429,deferred; slept 15.0s,1775520787
2017-10-11,rate_limit,429,deferred; slept 15.0s,1775520803
2017-10-12,rate_limit,429,deferred; slept 15.0s,1775520818
2017-10-13,rate_limit,429,deferred; slept 15.0s,1775520833
2017-10-14,rate_limit,429,deferred; slept 15.0s,1775520848
2017-11-20,rate_limit,429,deferred; slept 15.0s,1775520878
2017-11-21,rate_limit,429,deferred; slept 15.0s,1775520893
2017-11-22,rate_limit,429,deferred; slept 15.0s,1775520908
2017-11-23,rate_limit,429,deferred; slept 15.0s,1775520923
2017-11-24,rate_limit,429,deferred; slept 15.0s,1775520939
2017-11-25,rate_limit,429,deferred; slept 15.0s,1775520954
2017-11-26,rate_limit,429,deferred; slept 15.0s,1775520969
2018-01-02,rate_limit,429,deferred; slept 15.0s,1775520998
2018-01-03,rate_limit,429,deferred; slept 15.0s,1775521014
2018-01-04,rate_limit,429,deferred; slept 15.0s,1775521029
2018-01-05,rate_limit,429,deferred; slept 15.0s,1775521044
2018-01-06,rate_limit,429,deferred; slept 15.0s,1775521060
2018-01-07,rate_limit,429,deferred; slept 15.0s,1775521075
2018-01-08,rate_limit,429,deferred; slept 15.0s,1775521090
2018-02-15,rate_limit,429,deferred; slept 15.0s,1775521122
2018-02-16,rate_limit,429,deferred; slept 15.0s,1775521137
2018-02-17,rate_limit,429,deferred; slept 15.0s,1775521152
2018-02-18,rate_limit,429,deferred; slept 15.0s,1775521168
2018-02-19,rate_limit,429,deferred; slept 15.0s,1775521183
2018-02-20,rate_limit,429,deferred; slept 15.0s,1775521198
2018-02-21,rate_limit,429,deferred; slept 15.0s,1775521213
2018-03-31,rate_limit,429,deferred; slept 15.0s,1775521242
2018-04-01,rate_limit,429,deferred; slept 15.0s,1775521258
2018-04-02,rate_limit,429,deferred; slept 15.0s,1775521273
2018-04-03,rate_limit,429,deferred; slept 15.0s,1775521288
2018-04-04,rate_limit,429,deferred; slept 15.0s,1775521303
2018-04-05,rate_limit,429,deferred; slept 15.0s,1775521319
2018-04-06,rate_limit,429,deferred; slept 15.0s,1775521334
2018-05-16,rate_limit,429,deferred; slept 15.0s,1775521364
2018-05-17,rate_limit,429,deferred; slept 15.0s,1775521379
2018-05-18,rate_limit,429,deferred; slept 15.0s,1775521395
2018-05-19,rate_limit,429,deferred; slept 15.0s,1775521410
2018-05-20,rate_limit,429,deferred; slept 15.0s,1775521425
2018-05-21,rate_limit,429,deferred; slept 15.0s,1775521440
2018-05-22,rate_limit,429,deferred; slept 15.0s,1775521455
2018-06-30,rate_limit,429,deferred; slept 15.0s,1775521485
2018-07-01,rate_limit,429,deferred; slept 15.0s,1775521500
2018-07-02,rate_limit,429,deferred; slept 15.0s,1775521515
2018-07-03,rate_limit,429,deferred; slept 15.0s,1775521531
2018-07-04,rate_limit,429,deferred; slept 15.0s,1775521546
2018-07-05,rate_limit,429,deferred; slept 15.0s,1775521561
2018-07-06,rate_limit,429,deferred; slept 15.0s,1775521576
2018-07-09,rate_limit,429,deferred; slept 15.0s,1775521592
2018-07-10,rate_limit,429,deferred; slept 15.0s,1775521607
2018-07-11,rate_limit,429,deferred; slept 15.0s,1775521623
2018-07-12,rate_limit,429,deferred; slept 15.0s,1775521638
2018-07-13,rate_limit,429,deferred; slept 15.0s,1775521653
2018-07-14,rate_limit,429,deferred; slept 15.0s,1775521668
2018-07-15,rate_limit,429,deferred; slept 15.0s,1775521684
2018-08-21,rate_limit,429,deferred; slept 15.0s,1775521713
2018-08-22,rate_limit,429,deferred; slept 15.0s,1775521728
2018-08-23,rate_limit,429,deferred; slept 15.0s,1775521743
2018-08-24,rate_limit,429,deferred; slept 15.0s,1775521758
2018-08-25,rate_limit,429,deferred; slept 15.0s,1775521773
2018-08-26,rate_limit,429,deferred; slept 15.0s,1775521789
2018-08-27,rate_limit,429,deferred; slept 15.0s,1775521804
2018-10-05,rate_limit,429,deferred; slept 15.0s,1775521833
2018-10-06,rate_limit,429,deferred; slept 15.0s,1775521849
2018-10-07,rate_limit,429,deferred; slept 15.0s,1775521864
2018-10-08,rate_limit,429,deferred; slept 15.0s,1775521879
