rank,track_name,artist_names,streams,previous_rank,peak_rank,total_days,image_url,lastfm_tags,pop_flag,album,release_date,days_since_release,streak
1,Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",10875045,,1,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; best of 2024; soty; synthpop; post malone,True,The Tortured Poets Department (Webstore Exclusive),,,1
2,The Tortured Poets Department,Taylor Swift,8487090,,2,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; synthpop; best of 2024; singer-songwriter; colleen hoover,True,THE TORTURED POETS DEPARTMENT,,,1
3,Down Bad,Taylor Swift,8087833,,3,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; synthpop; best of 2024; love at first listen; colleen hoover,True,THE TORTURED POETS DEPARTMENT,,,1
4,"So Long, London",Taylor Swift,7713111,,4,1,https://i.scdn.co/image/ab67616d00001e0208c74a3a99b01a6d3933b169,pop; best of 2024; singer-songwriter; synthpop; hyperfixate on my mind,True,THE TORTURED POETS DEPARTMENT,,,1
5,My Boy Only Breaks His Favorite Toys,Taylor Swift,7696256,,5,1,https://i.scdn.co/image/ab67616d00001e0208c74a3a99b01a6d3933b169,pop; best of 2024; synthpop; female vocalists; taylor swift,True,THE TORTURED POETS DEPARTMENT,,,1
6,But Daddy I Love Him,Taylor Swift,7176347,,6,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; best of 2024; pop rock; colleen hoover; soty,True,THE TORTURED POETS DEPARTMENT,,,1
7,Florida!!! (feat. Florence + The Machine),"Taylor Swift, Florence + The Machine",6767891,,7,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; rock; country; alternative; pop rock; singer-songwriter; love at first listen; best of 2024; florence + the machine; 2024,True,,,,1
8,I Can Do It With a Broken Heart,Taylor Swift,6386906,,8,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; best of 2024; synthpop; dance-pop; soty,True,THE TORTURED POETS DEPARTMENT,,,1
9,Who’s Afraid of Little Old Me?,Taylor Swift,6114329,,9,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; love at first listen; best of 2024; pop rock; soty,True,THE TORTURED POETS DEPARTMENT [Clean] [Clean],,,1
10,Fresh Out The Slammer,Taylor Swift,6001623,,10,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; singer-songwriter; colleen hoover; love at first listen; best of 2024,True,THE TORTURED POETS DEPARTMENT,,,1
11,Guilty as Sin?,Taylor Swift,5945689,,11,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; best of 2024; singer-songwriter; pop rock; soty,True,THE TORTURED POETS DEPARTMENT,,,1
12,loml,Taylor Swift,5648085,,12,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; singer-songwriter; sad; piano; best of 2024,True,THE TORTURED POETS DEPARTMENT,,,1
13,The Alchemy,Taylor Swift,5307636,,13,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,chatgpt; pop; best of 2024; singer-songwriter; colleen hoover,True,THE TORTURED POETS DEPARTMENT,,,1
14,I Can Fix Him (No Really I Can),Taylor Swift,5254784,,14,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,singer-songwriter; pop; love at first listen; sexy; soty,True,THE TORTURED POETS DEPARTMENT,,,1
15,The Smallest Man Who Ever Lived,Taylor Swift,5214108,,15,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; singer-songwriter; best of 2024; colleen hoover; chatgpt,True,THE TORTURED POETS DEPARTMENT,,,1
16,Clara Bow,Taylor Swift,4655263,,16,1,https://i.scdn.co/image/ab67616d00001e025076e4160d018e378f488c33,pop; singer-songwriter; chatgpt; colleen hoover; taylor swift,True,THE TORTURED POETS DEPARTMENT,,,1
17,thanK you aIMee,Taylor Swift,3663101,,17,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,folk; female vocalist; pop; singer-songwriter; folk pop,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,1
18,The Black Dog,Taylor Swift,3591747,,18,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,pop; soty; best of 2024; singer-songwriter; love at first listen,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,1
19,imgonnagetyouback,Taylor Swift,3471113,,19,1,https://i.scdn.co/image/ab67616d00001e028ecc33f195df6aa257c39eaa,pop; singer-songwriter; female vocalists; synthpop; ai,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,1
20,So High School,Taylor Swift,3333302,,20,1,https://i.scdn.co/image/ab67616d00001e02335d581b7a70f0fa41f6520b,pop; rock; pop rock; singer-songwriter; indie rock,True,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,,,1
