date,error_type,http_status,message,saved_at
2017-07-04,rate_limit,429,rate limited; slept 15.0s,1775339817
2017-07-05,rate_limit,429,rate limited; slept 15.0s,1775339832
2017-07-06,rate_limit,429,rate limited; slept 15.0s,1775339848
2017-07-10,rate_limit,429,rate limited; slept 15.0s,1775339864
2017-07-10,rate_limit,429,rate limited; slept 60.0s,1775339873
2017-07-11,rate_limit,429,rate limited; slept 60.0s,1775339934
2017-08-21,rate_limit,429,rate limited; slept 60.0s,1775340041
2017-08-22,rate_limit,429,rate limited; slept 60.0s,1775340101
2017-10-02,rate_limit,429,rate limited; slept 60.0s,1775340208
2017-10-02,rate_limit,429,rate limited; slept 40.0s,1775340266
2017-02-10,rate_limit,429,deferred; slept 30.0s,1775340380
2017-02-11,rate_limit,429,deferred; slept 30.0s,1775340411
2017-02-12,rate_limit,429,deferred; slept 30.0s,1775340441
2017-02-13,rate_limit,429,deferred; slept 30.0s,1775340472
2017-03-26,rate_limit,429,deferred; slept 30.0s,1775340549
2017-03-27,rate_limit,429,deferred; slept 30.0s,1775340580
2017-03-28,rate_limit,429,deferred; slept 30.0s,1775340610
2017-03-29,rate_limit,429,deferred; slept 30.0s,1775340641
2017-05-08,rate_limit,429,deferred; slept 30.0s,1775340717
2017-05-09,rate_limit,429,deferred; slept 30.0s,1775340747
2017-05-10,rate_limit,429,deferred; slept 30.0s,1775340778
2017-05-11,rate_limit,429,deferred; slept 30.0s,1775340809
2017-06-22,rate_limit,429,deferred; slept 30.0s,1775340887
2017-06-23,rate_limit,429,deferred; slept 30.0s,1775340918
2017-06-24,rate_limit,429,deferred; slept 30.0s,1775340948
2017-06-25,rate_limit,429,deferred; slept 30.0s,1775340979
2017-08-04,rate_limit,429,deferred; slept 30.0s,1775341055
2017-08-05,rate_limit,429,deferred; slept 30.0s,1775341086
2017-08-06,rate_limit,429,deferred; slept 30.0s,1775341116
2017-08-07,rate_limit,429,deferred; slept 30.0s,1775341147
