date,track_id,song_name,rank,streams,previous_rank,peak_rank,total_days,streak,movement
2025-12-31,,The Fate of Ophelia,8,374317,7,,90,90,-1
2025-12-30,,The Fate of Ophelia,7,251580,6,,89,89,-1
2025-12-29,,The Fate of Ophelia,6,243087,9,,88,88,+3
2025-12-28,,The Fate of Ophelia,9,209855,8,,87,87,-1
2025-12-27,,The Fate of Ophelia,8,240531,8,,86,86,0
2025-12-26,,The Fate of Ophelia,8,232223,25,,85,85,+17
2025-12-25,,The Fate of Ophelia,25,189223,34,,84,84,+9
2025-12-24,,The Fate of Ophelia,34,295880,7,,83,83,-27
2025-12-23,,The Fate of Ophelia,7,265314,7,,82,82,0
2025-12-22,,The Fate of Ophelia,7,261869,9,,81,81,+2
2025-12-21,,The Fate of Ophelia,9,227024,8,,80,80,-1
2025-12-20,,The Fate of Ophelia,8,274593,8,,79,79,0
2025-12-19,,The Fate of Ophelia,8,264958,7,,78,78,-1
2025-12-18,,The Fate of Ophelia,7,241752,7,,77,77,0
2025-12-17,,The Fate of Ophelia,7,246004,7,,76,76,0
2025-12-16,,The Fate of Ophelia,7,238095,7,,75,75,0
2025-12-15,,The Fate of Ophelia,7,235723,7,,74,74,0
2025-12-14,,The Fate of Ophelia,7,211553,7,,73,73,0
2025-12-13,,The Fate of Ophelia,7,269050,7,,72,72,0
2025-12-12,,The Fate of Ophelia,7,262071,7,,71,71,0
2025-12-11,,The Fate of Ophelia,7,236252,7,,70,70,0
2025-12-10,,The Fate of Ophelia,7,239145,6,,69,69,-1
2025-12-09,,The Fate of Ophelia,6,233723,7,,68,68,+1
2025-12-08,,The Fate of Ophelia,7,227446,9,,67,67,+2
2025-12-07,,The Fate of Ophelia,9,199469,10,,66,66,+1
2025-12-06,,The Fate of Ophelia,10,242895,7,,65,65,-3
2025-12-05,,The Fate of Ophelia,7,241069,8,,64,64,+1
2025-12-04,,The Fate of Ophelia,8,221604,8,,63,63,0
2025-12-03,,The Fate of Ophelia,8,233917,8,,62,62,0
2025-12-02,,The Fate of Ophelia,8,225172,7,,61,61,-1
2025-12-01,,The Fate of Ophelia,7,223006,8,,60,60,+1
2025-11-30,,The Fate of Ophelia,8,202903,11,,59,59,+3
2025-11-29,,The Fate of Ophelia,11,252080,7,,58,58,-4
2025-11-28,,The Fate of Ophelia,7,257838,6,,57,57,-1
2025-11-27,,The Fate of Ophelia,6,231529,6,,56,56,0
2025-11-26,,The Fate of Ophelia,6,238825,6,,55,55,0
2025-11-25,,The Fate of Ophelia,6,231524,8,,54,54,+2
2025-11-24,,The Fate of Ophelia,8,225480,9,,53,53,+1
