date,track_id,streams,daily_streams
2026-03-09,01K4zKU104LyJ8gMb7227B,295947814,87295
2026-03-09,01QdEx6kFr78ZejhQtWR5m,68575555,18534
2026-03-09,03bTIHJElXZ0O0jqOQvAbY,281665734,
2026-03-09,045ZeOHPIzhxxsm8bq5kyE,251697229,233449
2026-03-09,04S1pkp1VaIqjg8zZqknR5,1003655803,286220
2026-03-09,05GsNucq8Bngd9fnd4fRa0,161854511,
2026-03-09,07NxDD1iKCHbAldceD7QLP,280928441,59070
2026-03-09,0CD7DzeCsuPJygddqlUVYa,439361883,0
2026-03-09,0DMVrlMUn01M0IcpDbwgu7,77513027,
2026-03-09,0E3Vtmgzk067KASoo0HwzV,2096764,105342
2026-03-09,0GxW5K0qzrq7L1jwSY5OmY,56634436,6128
2026-03-09,0ISHfeb30gj4CSWUZYuesj,1214236,
2026-03-09,0JIdBrXGSJXS72zjF9ss9u,67135008,
2026-03-09,0KztjtD3ytzgYjUKIVfBnW,264712986,52985
2026-03-09,0MtU9ETYyVX8YPBDCYPdMb,340949,146
2026-03-09,0NRHj8hDwwmSPaA41o379r,94918493,24605
2026-03-09,0Nw8hv79MLJa1yjtsEgz08,7610193,1186
2026-03-09,0NwGC0v03ysCYINtg6ns58,180131622,
2026-03-09,0Om9WAB5RS09L80DyOfTNa,164895079,33403
2026-03-09,0PurA4JVJ8YQgSVopY8fn6,430955893,126013
2026-03-09,0RFCHlNuTeUHIB36VuVbOL,25485910,8891
2026-03-09,0RdcBnAXyH2YZZvcBVu2k6,30493120,
2026-03-09,0ThxqUZ9PwS6n0UT5i1XH6,3067070,937
2026-03-09,0TyGh27YQ5LknmiDhCzJiT,158585714,96693
2026-03-09,0U0etHtpARihOUUY8Akc7y,19698953,5417
2026-03-09,0V3wPSX9ygBnCm8psDIegu,1979140883,0
2026-03-09,0VE4kBnHJUgtMf0dy6DRmW,900571419,303535
2026-03-09,0W0iAC1VGlB82PI6elxFYf,550817372,443624
2026-03-09,0XfTh16YcKPzdxMPTeKTAq,15736608,3003
2026-03-09,0cEG04R5cldkTLzK6phlcn,19105265,
2026-03-09,0cITLOYn1Sv4q27zZPqlNK,292984615,58427
2026-03-09,0cqRj7pUJDkTCEsJkx8snD,1835768376,703654
2026-03-09,0g4fMVo4JjwnIpTfFfLdxS,121721516,
2026-03-09,0hFF0aqyjDwDh6SQwRbTyx,7745183,
2026-03-09,0heeNYlwOGuUSe7TgUD27B,360300585,72850
2026-03-09,0k0vFacOHNuArLWMiH60p7,74332483,17504
2026-03-09,0kAZ3H6G9Zac4PMpmobMkj,94998120,34146
2026-03-09,0lKUBmEyQfzsQHozyeXzES,174895478,
2026-03-09,0lx2cLdOt3piJbcaXIV74f,1071922625,245491
2026-03-09,0qUnBLZ8bJqUNEeQgayL9t,363510422,90376
2026-03-09,0qsSmObOgBZfuMIwfAQDBP,74852039,
2026-03-09,0sY6ZUTh4yoctD8VIXz339,816663591,
2026-03-09,0tQ9vBYpldCuikPsbgOVKA,84545840,40341
2026-03-09,0ttGLmxI0mAkMblE6iRm2S,1562386,42571
2026-03-09,0ug5NqcwcFR2xrfTkc7k8e,1690467375,1249494
2026-03-09,0v4z1tuZvn6LGknom9Qx7d,165859988,0
2026-03-09,0vqI4ZIMuifeKeItGiWbPj,47813883,7544
2026-03-09,0vvt4IZOMkRug195S4MUq0,49022478,7936
2026-03-09,0wAvTNz81YTUhLFWuWJSAV,1189328,1387
2026-03-09,0y6kdSRCVQhSsHSpWvTUm7,162568384,59175
2026-03-09,0yisH8r0f3Mkq34kjzUlCV,5194045,
2026-03-09,0z9UVN8VBHJ9HdfYsOuuNf,255845186,28432
2026-03-09,0zo975x58DlXbZllWvfYhg,109864408,28697
2026-03-09,10GRRCR5fctuOF4GFmATJI,175362036,
2026-03-09,11UaQaEp2LvdspTyyuE3ur,118081736,22003
2026-03-09,12M5uqx0ZuwkpLp5rJim1a,444818276,
2026-03-09,12nBPF4Rh4XLFJV0YLN7uj,66992523,22105
2026-03-09,12ntTeqEeTg7GAVpe8Mhpl,313469350,108729
2026-03-09,13MAWVUSkbGMUi6I7RowRK,29821147,3761
2026-03-09,13tYZVTtzLUJTlM7m1ivbi,379658,169
2026-03-09,15DeqWWQB4dcEWzJg15VrN,455087463,129630
2026-03-09,16M9Rxid0nXhVmme7lzVwN,26831369,0
2026-03-09,16MVSD0mGI4RMQT83Qzm69,156182769,36874
2026-03-09,18WFFUIsewmA8g31KAeo3e,261621617,179580
2026-03-09,19CSr8rwW05VJL2F91KFNK,284277619,70203
