date,week_start,rank,track_id,title,weekly_streams,units_am,units_spotify,units_charts,units_surplus,total_units,streams_pct,airplay_pct,sales_pct,bonus_points,points,global_best_rank,am_ts_score,am_global_score,am_country_score,am_overall_score,prev_rank,prev_points,change,rank_change,percentage_change,weeks_on_chart,peak_position,times_at_peak
2025-01-08,2025-01-02,1,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,13062052,110680,13039739,12987675,74377,13150419,99.2,0.8,0,0,131.5,51,110.68,0.0,0.0,0.0,,,NEW,,,1,1,1
2025-01-08,2025-01-02,2,4R2kfaDFhslZEMJqAFNpdd,cardigan,12417193,110680,8692035,0,12417193,8802715,98.7,1.3,0,0,88.0,,110.68,0.0,0.0,0.0,,,NEW,,,1,2,1
2025-01-08,2025-01-02,3,3hUxzQpSfdDqwM3ZTFQY0K,august,11984684,110680,8389279,0,11984684,8499959,98.7,1.3,0,0,85.0,,110.68,0.0,0.0,0.0,,,NEW,,,1,3,1
2025-01-08,2025-01-02,4,2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),8429826,110680,8147157,7487597,942229,8257837,98.7,1.3,0,0,82.6,159,110.68,0.0,0.0,0.0,,,NEW,,,1,4,1
2025-01-08,2025-01-02,5,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,7617166,110680,5336430,14712,7602454,5447110,98.0,2.0,0,0,54.5,,110.68,0.0,0.0,0.0,,,NEW,,,1,5,1
2025-01-08,2025-01-02,6,1MgV7FIyNxIG7WzMRJV5HC,my tears ricochet,7571362,110680,5299953,0,7571362,5410633,98.0,2.0,0,0,54.1,,110.68,0.0,0.0,0.0,,,NEW,,,1,6,1
2025-01-08,2025-01-02,7,1dGr1c8CrMLDpV6mPbImSI,Lover,6237453,110680,4383164,56489,6180964,4493844,97.5,2.5,0,0,44.9,,110.68,0.0,0.0,0.0,,,NEW,,,1,7,1
2025-01-08,2025-01-02,8,4dgf2DYVJbtmy8zAYLs4c7,I Can Do It With a Broken Heart,6252884,110680,4377019,0,6252884,4487699,97.5,2.5,0,0,44.9,,110.68,0.0,0.0,0.0,,,NEW,,,1,8,1
2025-01-08,2025-01-02,9,6YvqWjhGD8mB5QXcbcUKtx,Love Story,6011518,110680,4208063,0,6011518,4318743,97.4,2.6,0,0,43.2,,110.68,0.0,0.0,0.0,,,NEW,,,1,9,1
2025-01-08,2025-01-02,10,0cqRj7pUJDkTCEsJkx8snD,Shake It Off,5940211,110680,4158148,0,5940211,4268828,97.4,2.6,0,0,42.7,,110.68,0.0,0.0,0.0,,,NEW,,,1,10,1
