date,week_start,rank,album_id,title,weekly_streams,units_am,units_am_ts,units_am_overall,units_spotify,units_charts,units_surplus,total_units,track_count,prev_rank,change,rank_change,percentage_change,weeks_on_chart,peak_position,times_at_peak
2025-01-08,2025-01-02,1,the_tortured_poets_department,THE TORTURED POETS DEPARTMENT,63162242,3099040,3099040,0,46459851,7487597,55674645,49558891,32,,NEW,,,1,1,1
2025-01-08,2025-01-02,2,folklore,folklore,59214505,1881560,1881560,0,41450154,0,59214505,43331714,26,,NEW,,,1,2,1
2025-01-08,2025-01-02,3,lover,Lover,39951907,1881560,1881560,0,31879585,13044164,26907743,33761145,18,,NEW,,,1,3,1
2025-01-08,2025-01-02,4,midnights,Midnights,34872574,2434960,2434960,0,24410803,0,34872574,26845763,24,,NEW,,,1,4,1
2025-01-08,2025-01-02,5,reputation,reputation,29188158,1660200,1660200,0,20431710,0,29188158,22091910,15,,NEW,,,1,5,1
2025-01-08,2025-01-02,6,fearless_taylor_s_version,Fearless (Taylor's Version),23127981,2877680,2877680,0,16189589,0,23127981,19067269,29,,NEW,,,1,6,1
2025-01-08,2025-01-02,7,1989_taylor_s_version,1989 (Taylor's Version),24142758,1881560,1881560,0,16899930,0,24142758,18781490,22,,NEW,,,1,7,1
2025-01-08,2025-01-02,8,red_taylor_s_version,Red (Taylor's Version),20812254,3209720,3209720,0,14568580,0,20812254,17778300,34,,NEW,,,1,8,1
2025-01-08,2025-01-02,9,speak_now_taylor_s_version,Speak Now (Taylor's Version),19592429,2434960,2434960,0,13714700,0,19592429,16149660,22,,NEW,,,1,9,1
2025-01-08,2025-01-02,10,1989,1989,22296707,442720,442720,0,15612108,14712,22281995,16054828,17,,NEW,,,1,10,1
2025-01-08,2025-01-02,11,evermore,evermore,18356240,1881560,1881560,0,12849367,0,18356240,14730927,17,,NEW,,,1,11,1
2025-01-08,2025-01-02,12,taylor_swift,Taylor Swift,3785867,1438840,1438840,0,2650109,0,3785867,4088949,15,,NEW,,,1,12,1
2025-01-08,2025-01-02,13,red,Red,3968489,110680,110680,0,2777942,0,3968489,2888622,20,,NEW,,,1,13,1
2025-01-09,2025-01-03,1,the_tortured_poets_department,THE TORTURED POETS DEPARTMENT,63478291,3099040,3099040,0,46689894,7516969,55961322,49788934,32,1,,0,0.5,2,1,2
2025-01-09,2025-01-03,2,folklore,folklore,60023464,1881560,1881560,0,42016424,0,60023464,43897984,26,2,,0,1.3,2,2,2
2025-01-09,2025-01-03,3,lover,Lover,40109179,1881560,1881560,0,31998536,13073704,27035475,33880096,18,3,,0,0.4,2,3,2
2025-01-09,2025-01-03,4,midnights,Midnights,34979931,2434960,2434960,0,24485952,0,34979931,26920912,24,4,,0,0.3,2,4,2
2025-01-09,2025-01-03,5,reputation,reputation,28917548,1660200,1660200,0,20242283,0,28917548,21902483,15,5,,0,-0.9,2,5,2
2025-01-09,2025-01-03,6,fearless_taylor_s_version,Fearless (Taylor's Version),23229153,2877680,2877680,0,16260407,0,23229153,19138087,29,6,,0,0.4,2,6,2
