title,track_id,previous_total_before_date,new_total,new_daily,status,reason
The Fate of Ophelia,53iuhJlwXhSER5J2IYYv1W,,,,skipped,
Opalite,3yWuTOYDztXjZxdE2cIRUa,,,,skipped,
Style,0ug5NqcwcFR2xrfTkc7k8e,,,,skipped,
Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr,,,,skipped,
Blank Space,1u8c2t2Cy7UBoG4ArRcF5g,,,,skipped,
cardigan,4R2kfaDFhslZEMJqAFNpdd,,,,skipped,
cardigan,7zcnlq38eqNWyUF6eNaB5Z,,,,skipped,
Shake It Off,0cqRj7pUJDkTCEsJkx8snD,,,,skipped,
august,1UHoF9p75IVsvUt6WdTYhn,,,,skipped,
august,3hUxzQpSfdDqwM3ZTFQY0K,,,,skipped,
Lover,1dGr1c8CrMLDpV6mPbImSI,,,,skipped,
I Don't Wanna Live Forever (Fifty Shades Darker),55n9yjI6qqXh5F2mYvUc2y,,,,skipped,
Fortnight (feat. Post Malone),2OzhQlSqBEmt7hmkYxfT6m,,,,skipped,
Elizabeth Taylor,1jgTiNob5cVyXeJ3WgX5bL,,,,skipped,
Wildest Dreams,4A4A6dwl5DqdqrZaEtKGPR,,,,skipped,
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),5enxwA8aAbwZbf5qCHORXi,,,,skipped,
Love Story (Taylor's Version),6YvqWjhGD8mB5QXcbcUKtx,,,,skipped,
I Knew You Were Trouble.,72jCZdH0Lhg93z6Z4hBjgj,,,,skipped,
Father Figure,03bTIHJElXZ0O0jqOQvAbY,,,,skipped,
You Belong With Me (Taylor's Version),1qrpoAMXodY6895hGKoUpA,,,,skipped,
Don't Blame Me,1R0a2iXumgCiFb7HEZ7gUE,,,,skipped,
The Life of a Showgirl (feat. Sabrina Carpenter),5eXgqtg3T8Av0m1FUaGHex,,,,skipped,
Dress,6oVxXO5oQ4pTpO8RSnkzvv,,,,skipped,
Wi$h Li$t,2TEQvxxQabwLQMqWMg1qGu,,,,skipped,
Guilty as Sin?,0W0iAC1VGlB82PI6elxFYf,,,,skipped,
Anti-Hero,0V3wPSX9ygBnCm8psDIegu,,,,skipped,
You Belong With Me,7G6TDmGJXDoBaV6NGj3Yic,,,,skipped,
Daylight,1fzAuUVbzlhZ1lJAx9PtY6,,,,skipped,
exile (feat. Bon Iver),4pvb0WLRcMtbPGmtejJJ6y,,,,skipped,
exile (feat. Bon Iver),6kz2hkq1xQvDqPcUyBkw8f,,,,skipped,
Delicate,6NFyWDv5CjfwuzoCkw47Xf,,,,skipped,
Love Story,5xPsybHWRHbTYO44xnREY5,,,,skipped,
my tears ricochet,1MgV7FIyNxIG7WzMRJV5HC,,,,skipped,
my tears ricochet,0Oju1YcbPCJuUQQWoZNdJK,,,,skipped,
Ruin The Friendship,62V2ZHslgQV98gH4AuVXnr,,,,skipped,
I Can Do It With a Broken Heart,4dgf2DYVJbtmy8zAYLs4c7,,,,skipped,
Actually Romantic,2x3mwb96B6TquRqMtbxUE1,,,,skipped,
Wood,5ylJtmaWPJ33cW3En7WOu0,,,,skipped,
CANCELLED!,1appZ3c336FkPvCuywfmrs,,,,skipped,
Wildest Dreams (Taylor's Version),1K39ty6o1sHwwlZwO6a7wK,,,,skipped,
"You're On Your Own, Kid",4D7BCuvgdJlYvlX5WlN54t,,,,skipped,
...Ready For It?,2yLa0QULdQr0qAIvVwN6B5,,,,skipped,
So High School,1J1ldDi3rMQlRi49gaba0a,,,,skipped,
Getaway Car,0VE4kBnHJUgtMf0dy6DRmW,,,,skipped,
Honey,4qmFC3Jz5aQ0erlk2OSi2X,,,,skipped,
Eldest Daughter,62HoDY1Km6lm47haFpUn9c,,,,skipped,
Enchanted,04S1pkp1VaIqjg8zZqknR5,,,,skipped,
Look What You Made Me Do,1P17dC1amhFzptugyAO7Il,,,,skipped,
loml,3YkNIrAvbKNrrwwEd7NVLl,,,,skipped,
The Man,3RauEVgRgj1IuWdJ9fDs70,,,,skipped,
Call It What You Want,1GwMQaZz6Au3QLDbjbMdme,,,,skipped,
Enchanted (Taylor's Version),3sW3oSbzsfecv9XoUdGs7h,,,,skipped,
the 1,0Jlcvv8IykzHaSmj49uNW8,,,,skipped,
the 1,0P9wLFurlgumLXuqFEpw52,,,,skipped,
Down Bad,2F3N9tdombb64aW6VtZOdo,,,,skipped,
Down Bad,212gSq8QwTqxjHJSEcMoEZ,,,,skipped,
right where you left me - bonus track,3zwMVvkBe2qIKDObWgXw4N,,,,skipped,
willow,0lx2cLdOt3piJbcaXIV74f,,,,skipped,
Out Of The Woods (Taylor's Version),045ZeOHPIzhxxsm8bq5kyE,,,,skipped,
Karma,45R112Jz5hQeKgITXgSXzs,,,,skipped,
Bad Blood,2NlmmAjGYrrjAp0MED5rGx,,,,skipped,
We Are Never Ever Getting Back Together,7AEAGTc8cReDqcbPoY9gwo,,,,skipped,
The Way I Loved You (Taylor's Version),22bPsP2jCgbLUvh82U0Z3M,,,,skipped,
this is me trying,7kt9e9LFSpN1zQtYEl19o1,,,,skipped,
Style (Taylor's Version),1hjRhYpWyqDpPahmSlUTlc,,,,skipped,
Midnight Rain,3rWDp9tBPQR9z6U5YyRSK4,,,,skipped,
Paper Rings,4y5bvROuBDPr5fuwXbIBZR,,,,skipped,
illicit affairs,2NmsngXHeC1GQ9wWrzhOMf,,,,skipped,
champagne problems,0sY6ZUTh4yoctD8VIXz339,,,,skipped,
Who's Afraid of Little Old Me?,6kl8thRysTeVV3WvKxgZAy,,,,skipped,
Red (Taylor's Version),4OAuvHryIVv4kMDNSLuPt6,,,,skipped,
invisible string,6VsvKPJ4xjVNKpI8VVZ3SV,,,,skipped,
You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,,,,skipped,
My Boy Only Breaks His Favorite Toys,2XXwLdtuAcE0HSCu61ijAb,,,,skipped,
Maroon,3eX0NZfLtGzoLUxPNvRfqm,,,,skipped,
mirrorball,0ZNU020wNYvgW84iljPkPP,,,,skipped,
mirrorball,5jQyGzcwqAxwT5QUIMivoX,,,,skipped,
The Archer,3pHkh7d0lzM2AldUtz2x37,,,,skipped,
False God,5hQSXkFgbxjZo9uCwd11so,,,,skipped,
"So Long, London",3Vevii7qKqrmW8CcyzBHDl,,,,skipped,
Miss Americana & The Heartbreak Prince,214nt20w5wOxJnY462klLw,,,,skipped,
All Too Well (Taylor's Version),3nsfB1vus2qaloUdcBZvDu,,,,skipped,
The Prophecy,18WFFUIsewmA8g31KAeo3e,,,,skipped,
"""Slut!"" (Taylor's Version) (From The Vault)",0CD7DzeCsuPJygddqlUVYa,,,,skipped,
Cornelia Street,12M5uqx0ZuwkpLp5rJim1a,,,,skipped,
Labyrinth,4bBDkw2KBMX0tcgAaXC83Q,,,,skipped,
imgonnagetyouback,1kcwpPDQnqEqmezzXdJTCP,,,,skipped,
Florida!!! (feat. Florence + The Machine),3ZVFcD8Wlw9T9klGqmJf9F,,,,skipped,
The Smallest Man Who Ever Lived,4GBbcyrbDzwRtQjrsDRywK,,,,skipped,
But Daddy I Love Him,5og4Qzt92jJzVDkOtSEilb,,,,skipped,
But Daddy I Love Him,74sZKiwaGtSEEyjhDmi99y,,,,skipped,
us. (feat. Taylor Swift),0hhzNPE68LWLfgZwdpxVdR,,,,skipped,
Bejeweled,3qoftcUZaUOncvIYjFSPdE,,,,skipped,
Lavender Haze,5jQI2r1RdgtuT8S3iG8zFC,,,,skipped,
The Alchemy,1tuNqJOtRQVHvONR8Lg3MZ,,,,skipped,
You're Losing Me (From The Vault),3CWq0pAKKTWb0K4yiglDc4,,,,skipped,
Fearless (Taylor's Version),77sMIMlNaSURUAXq5coCxE,,,,skipped,
Back To December,5l6GqSxplqnZbLg0LTPQeG,,,,skipped,
Afterglow,1SymEzIT3H8UZfibCs3TYi,,,,skipped,
Fresh Out The Slammer,3fO566xJgwxIa3qGCGBvIC,,,,skipped,
The Tortured Poets Department,3NMrVbIVWT3fPXBj0rNDKG,,,,skipped,
I Did Something Bad,4svZDCRz4cJoneBpjpx8DJ,,,,skipped,
We Are Never Ever Getting Back Together (Taylor's Version),5YqltLsjdqFtvqE7Nrysvs,,,,skipped,
Blank Space (Taylor's Version),45wMBGri1PORPjM9PwFfrS,,,,skipped,
End Game,2x0WlnmfG39ZuDmstl9xfX,,,,skipped,
This Love (Taylor's Version),4WBEj8TeGtRPNJdOmT3WJW,,,,skipped,
Our Song,15DeqWWQB4dcEWzJg15VrN,,,,skipped,
Is It Over Now? (Taylor's Version) (From The Vault),6IG3sQ8s9nfk6TUlVzRhbN,,,,skipped,
Gorgeous,1ZY1PqizIl78geGM4xWlEA,,,,skipped,
ME! (feat. Brendon Urie of Panic! At The Disco),2Rk4JlNc2TPmZe2af99d45,,,,skipped,
Hits Different,3xYJScVfxByb61dYHTwiby,,,,skipped,
Now That We Don't Talk (Taylor's Version) (From The Vault),5QUIK7ZtziW8kGWo8RqopF,,,,skipped,
tolerate it,0PurA4JVJ8YQgSVopY8fn6,,,,skipped,
Mr. Perfectly Fine (Taylor's Version) (From The Vault),2CYVETnhM9aytqrazYYwrK,,,,skipped,
Snow On The Beach (feat. More Lana Del Rey),4zmKGsrXjLmljb5fTaBTot,,,,skipped,
I Knew You Were Trouble (Taylor's Version),6AtZLIzUINvExIUy4QhdjP,,,,skipped,
Message In A Bottle (Taylor's Version) (From The Vault),3z6XUommYDWPHeFhmhhT6j,,,,skipped,
The Black Dog,62E2nR0od0M5HYxuYLaDz7,,,,skipped,
King Of My Heart,7HuBDWi18s4aJM8UFnNheH,,,,skipped,
London Boy,1LLXZFeAHK9R4xUramtUKw,,,,skipped,
22,2ULNeSomDxVNmdDy8VxEBU,,,,skipped,
The Fate of Ophelia - Loud Luxury Remix,6PlBKImSl4AZoxBU7F649D,,,,skipped,
The Great War,2VuqMjgoKaOHNM8HpxtXKx,,,,skipped,
Better Than Revenge,1By2VQkUN0Frd8mKNV5NYC,,,,skipped,
Everything Has Changed (feat. Ed Sheeran) (Taylor's Version),7qEUFOVcxRI19tbT68JcYK,,,,skipped,
Mastermind,1QQii3pa5m8MEda0nbkjfw,,,,skipped,
Crazier,5vyxXfD5gLlyPxGZMEjtmd,,,,skipped,
How Did It End?,5Bedn0svl0ZD7RGmJkmKKw,,,,skipped,
The Bolter,2913xXOVAIDAqxzV2g4VcU,,,,skipped,
Peter,3zMDGj4D8ogaYgAIZPeU7S,,,,skipped,
22 (Taylor's Version),3yII7UwgLF6K5zW3xad3MP,,,,skipped,
Back To December (Taylor's Version),79uDOz0zuuWS7HWxzMmTa2,,,,skipped,
Renegade,73W5aXorr5vxrySFcoZqIN,,,,skipped,
Chloe or Sam or Sophia or Marcus,1rmEsOezwf2lmIZTMAO5Ag,,,,skipped,
"Would've, Could've, Should've",4txojlesMFQZGWxwz2EeqB,,,,skipped,
All Of The Girls You Loved Before,17yraMKqmZIKAv3iaGcoLX,,,,skipped,
Death By A Thousand Cuts,2dgFqt3w9xIQRjhPtwNk3D,,,,skipped,
the last great american dynasty,2Eeur20xVqfUoM3Q7EFPFt,,,,skipped,
